term,count
think,17
people,12
young,10
process,7
years,7
thank,7
general,6
secretary,6
member,6
states,6
like,6
just,6
i've,5
involved,5
make,5
believe,5
it's,4
times,4
ways,4
seen,4
terms,4
things,4
reform,4
important,4
come,4
want,3
ground,3
80,3
particular,3
choose,3
solutions,3
know,3
discussion,3
communication,3
world,3
they're,3
i'm,3
crisis,3
time,3
old,3
ai,3
change,3
today,2
stone,2
wouldn't,2
thing,2
way,2
impact,2
protect,2
strengthen,2
say,2
lot,2
walls,2
greenery,2
progress,2
new,2
evidence,2
based,2
merge,2
decisions,2
communicate,2
better,2
noticed,2
developments,2
continuous,2
organization,2
example,2
face,2
information,2
need,2
going,2
you're,2
said,2
statement,2
there's,2
different,2
office,2
public,2
good,2
older,2
governance,2
involve,2
ones,2
technology,2
able,2
agree,2
failed,2
set,2
challenges,2
future,2
minister,2
affairs,2
